zeo,osda,Si/Al_rec,Al/P_rec,Si/Ge_rec,Si/B_rec,Na/T_rec,K/T_rec,OH/T_rec,F/T_rec,H2O/T_rec,sda1/T_rec,cryst_temp_rec,cryst_time_rec
BEA,CCC[N+]1(CCC)CCC([N+]2(CCC)CCCC2)CC1,0.0,0.5714285714285714,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
ITE,C[N+]1(C)CCCCC2CCCCC21,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
MFI,CCCCCCCCCCCCCCCCCC[N+](C)(C)CCCCCC[N+](C)(C)CCCCCC,0.0,0.6666666666666666,0.0,1.0,0.3333333333333333,0.0,0.3333333333333333,1.0,0.0,0.5,0.0,0.0
MFI,O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O,0.0,0.5,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
AVE,C1CC[N+]2(CC1)CCCC2,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
MWW,CCCCCC[N+](C)(C)C,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
STW,CCc1n(C)cc(C)[n+]1C,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.6666666666666666,0.0,0.0,0.0
FER,CCCCN,0.0,0.6666666666666666,0.16666666666666666,0.16666666666666666,1.0,1.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0
TON,CC(N)CN,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.0,1.0,0.0,0.0,0.0,0.0
ETL,C[N+](C)(C)CCO,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
ERI,C[N+]1(CCC[N+]2(C)CCCC2)CCCC1,1.0,0.0,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,0.8333333333333334,0.0,1.0,0.0,0.0
UOZ,C[N+](C)(C)CCCCCC[N+](C)(C)C,0.16666666666666666,0.6666666666666666,0.0,0.16666666666666666,0.0,1.0,1.0,0.0,0.6666666666666666,0.0,0.0,0.0
SZR,CC[N+](CC)(CC)CCCCC[N+](CC)(CC)CC,0.16666666666666666,0.8333333333333334,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.5,0.16666666666666666,1.0,0.0,0.16666666666666666,0.0,0.0
MEI,CN(CCO)CCO,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
AEL,CCNCC,1.0,0.0,0.16666666666666666,0.16666666666666666,1.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.0
CHA,NCCNCCN,0.8333333333333334,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.0,1.0,0.8333333333333334,0.8333333333333334,0.0,0.0,0.0,0.0
MTW,C[N+]12CCCCC1C[C@H]1C[C@@H]2CC2CCCC[N+]21C,0.0,0.0,1.0,0.0,0.6666666666666666,1.0,1.0,1.0,0.0,0.0,0.0,0.0
AEL,CCCCNCCCC,1.0,0.0,0.6666666666666666,0.6666666666666666,1.0,0.0,1.0,0.0,0.3333333333333333,0.0,0.0,0.0
MFI,CCCNCCC,0.0,0.8333333333333334,0.0,0.0,0.3333333333333333,1.0,0.3333333333333333,0.8333333333333334,0.0,0.0,0.0,0.0
GIS,C[N+](C)(C)C,0.5,0.0,0.5,0.5,0.6666666666666666,0.8333333333333334,0.0,1.0,0.3333333333333333,0.3333333333333333,0.0,0.16666666666666666
FER,NC1CCCCC1,0.0,0.0,0.0,0.0,0.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0
SOD,C1CCC2(C1)CCC[NH2+]2,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
DOH,CC1CNCCN1,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
TON,CCC(C)N,0.0,0.0,0.0,0.0,0.2,1.0,0.0,1.0,0.0,0.0,0.0,0.4
STF,CC1(C)CC2CC(C)(C1)C[N+]2(C)C,0.6,0.4,0.6,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
MOR,CC[N+](CC)(CC)CCC[N+](CC)(CC)CC,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
AFI,Fc1cccc(CN2CCCC2)c1,1.0,0.0,0.4,0.4,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.2
AFI,CN1C2CCC1CC(O)C2,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.2,0.0,0.0,0.2,0.0
MFI,C(CCC[N+]12CCC(CC1)CC2)CC[N+]12CCC(CC1)CC2,0.0,0.6,0.0,1.0,0.8,1.0,0.8,0.4,0.4,0.4,0.6,0.0
