PCA 1,PCA 2
-0.059942029221370464,-0.36805795647332945
-0.059770511703804464,-0.37373865615000407
-0.05875812936517364,-0.40731957208669534
-0.04694876311221102,-0.7990946544967923
-0.21966569119314236,-0.15675115782979196
0.05956028190871858,-0.5168903651975604
-0.010487250826468692,-0.682953479881463
-0.04059660729777341,-0.47938631089382544
0.08738305961770225,0.5028428777971656
0.02807662910854043,0.7703425962581788
0.03023057877520215,0.770078397885633
0.04083465052358544,0.7687777275210278
0.05127303087332871,0.7674973804715596
0.0650251799410131,0.7658105743874061
-0.2698159415607184,-0.22983479022835945
-0.2269016050308663,-0.533748446879429
-0.288588318145193,-1.139646714288925
-0.2901354079568528,-1.1468885798177353
-0.2909258917095847,-1.1532530221133412
-0.2917163762323597,-1.159617465175802
-0.2929102058327031,-1.1665075331777528
-0.28966344793103804,-1.1688514501386225
-0.28984834506021423,-1.1746128132601759
-0.2003030109498604,-0.5063181013032124
-0.13141760354578774,-0.5303806734596347
-0.19051697781157242,-0.5197382810381768
-0.18034166539676322,-0.5559364785451333
-0.2891416782345843,-0.4385059126965826
-0.13870415703347574,-0.7054459964287673
-0.3525911377566912,0.19961697597338682
-0.35251149417153493,0.19697603520097473
-0.3524607684911253,0.1952935146787486
-0.35219821757645414,0.18658341125429143
-0.38801606227519997,0.1891533421214483
-0.385749697753565,0.18555674302518801
-0.3715275827334059,0.18801281161750166
-0.33823866593831986,0.19774958111802976
-0.34277138251423594,0.20494278146358266
-0.34761607550268064,0.20011814807116562
-0.37899563654542046,0.16507699982259139
-0.30668549304505205,-0.37353475228653427
-0.30668549304505205,-0.37353475228653427
-0.31133622439325526,0.05910463682184051
-0.3296811860183354,0.03681263693282778
-0.31346442545188985,0.04821348161829672
-0.34587252894779225,-0.010914572192608342
-0.3111264862826158,-0.03300531066015188
-0.30656929791623366,-0.20084873987701096
-0.32021943707677797,-0.3858419426369278
-0.3605551742245444,-0.43069353238748587
-0.3405983439641645,-0.4073071860334536
-0.31637487902194134,-0.3831840190713683
-0.29546496245418,-0.40949861150797545
-0.3163206119294356,-0.3794313045038833
-0.336739835189597,-0.40126786937377446
-0.39247526278718936,-0.060836494182161686
-0.3319165080264459,-0.0005284847543696155
-0.33676120101489054,-0.005353118146786721
-0.3335056629398286,-0.0588039736935742
-0.3329743495710648,-0.17310052870008363
-0.33055200307684257,-0.1706882120038752
-0.33663022210274635,-0.40239167041664087
-0.3702351736916047,-0.36414637645585246
-0.3781280974217445,-0.011433678586826826
-0.305616098324876,0.057265935259431765
-0.36340704325306444,-0.031888632479273406
-0.3611716904432255,0.00545251988211701
-0.3569050567247375,0.0061893403238046105
-0.29999651186898657,-0.3703856149822728
-0.352060400698367,0.01101393690719
-0.3216490640055691,0.01320859476947692
-0.3343388545206682,-0.0029408014505781766
-0.2924486050810659,0.24173398217042164
-0.2801681195982499,0.24819884531124092
-0.32566667627292534,0.18687163330348422
-0.2893314788595907,0.22305638374661202
-0.2893314788595907,0.22305638374661202
-0.4367609824066429,0.020519827569192586
-0.32619279539365936,0.2023647360607
-0.29175382535381306,0.2206440670504035
-0.42280339760804264,0.07109447055871267
-0.4567190008082087,0.19106663730758064
-0.4567602712754376,0.20459341918231297
-0.2990208648364799,0.21340711696177794
-0.47367459683509394,0.1739450205380603
